FMNH       27039      Tg12stv
14.2749    11.1639    14.3412
14.4571    11.2517    14.3375
14.6086    11.3263    14.3547
14.863     11.5354    14.4306
15.0264    11.637     14.4401
15.238     11.7449    14.4253
15.4088    11.8782    14.4181
15.6123    12.024     14.343
15.8693    12.3117    14.3732
15.977     12.4374    14.353
16.0921    12.5821    14.3301
16.1858    12.6819    14.3475
16.3087    12.7796    14.3512
16.4327    12.8869    14.2957
16.5593    13.0276    14.2662
16.6898    13.1775    14.2332
16.7803    13.4146    14.1666
16.8919    13.5908    14.1593
16.9362    13.7067    14.2031
17.1251    13.8658    14.1576
17.2137    14.0285    14.1338
17.3326    14.1619    14.1043
17.4865    14.3138    14.0645
17.5974    14.4284    14.0305
