AMNH       169432     Phu1pwl
-3.1277    15.4015    13.2186    R-ALV
-3.2561    15.6306    13.2016
-3.3769    16.0931    13.2221
-3.3962    16.5015    13.1837
-3.3629    16.9084    13.1293
-3.3638    17.3995    13.1564
-3.3084    17.777     13.1508
-3.2236    18.1006    13.135
-3.1456    18.5542    13.1066
-3.0782    18.9682    13.1434
-2.9261    19.3551    13.0268
-2.8529    19.7272    13.0638
-2.782     20.0819    13.068
-2.7392    20.4105    13.0701
-2.7333    20.695     13.0666
-2.6649    20.9257    13.0689
























































































































































































1.9491     15.0728    13.8473    L-ALV
2.1167     15.3832    13.8523
2.2135     15.6643    13.8704
2.3138     15.9731    13.8299
2.3859     16.3246    13.7999
2.4434     16.6651    13.7904
2.4871     17.0611    13.7195
2.4904     17.3677    13.7324
2.4809     17.7088    13.7746
2.4993     17.9974    13.7028
2.4945     18.3323    13.6661
2.4675     18.7016    13.5838
2.419      18.9829    13.5656
2.3941     19.3008    13.5589
2.3952     19.661     13.474
2.4134     19.9246    13.5
2.4291     20.1473    13.4743
2.4914     20.4674    13.4226
