LSZT       R28        Phu173sf
-4.2326    10.1781    12.1598
-4.3118    10.0125    12.149
-4.3738    9.8998     12.1327
-4.3776    9.7899     12.1202
-4.407     9.6467     12.0526















































































































































































5.5213     13.8554    11.4568    LZYGINF
5.6124     13.5951    11.3972
5.7143     13.5005    11.3023
5.8963     13.3047    11.2148
6.123      13.1098    11.2098
6.3255     12.9258    11.2282
6.4255     12.6802    11.3134
6.5348     12.3117    11.4337
6.6317     11.9911    11.4988
6.6615     11.6718    11.5636
6.7315     11.3397    11.6159
6.8378     11.0149    11.6458
6.9531     10.8324    11.6153
7.1393     10.5918    11.5889
7.2372     10.3969    11.5633
7.2568     10.176     11.5694
7.2461     9.9782     11.574
7.3019     9.7971     11.5315
7.3345     9.6528     11.4773
7.3261     9.4651     11.4775




















































































































































































-0.6778    13.9956    13.7786    R-ALV
-0.9448    14.3583    13.7962
-1.0145    14.6177    13.8509
-1.1058    14.9822    13.8714
-1.1092    15.3337    13.8769
-1.101     15.5917    13.9155
-1.0933    15.8881    13.9485
-1.0693    16.0743    13.9698
-1.0687    16.4255    13.9733
-1.0132    16.7135    14.0185
-0.9411    16.8029    14.1063
-0.937     16.941     14.0593
-0.9049    17.2402    14.0333
-0.8613    17.4351    13.9692
-0.861     17.6682    14.0766
-0.7709    17.9457    14.1436
-0.7437    18.1393    14.2019
-0.7633    18.3469    14.2127
-0.7536    18.5239    14.2492
-0.785     18.7288    14.2257
-0.8413    19.0132    14.1896
-0.8661    19.199     14.2016
-0.8493    19.3933    14.2267
-0.8164    19.5189    14.233
















































































































































































4.0716     13.8744    13.5595    L-ALV
4.3379     14.1388    13.5248
4.499      14.4856    13.4614
4.6221     14.7943    13.3991
4.6733     15.0308    13.4629
4.6694     15.3671    13.4335
4.6716     15.7058    13.4548
4.6865     15.9797    13.4607
4.7053     16.194     13.4711
4.6805     16.4019    13.5524
4.6257     16.6348    13.588
4.5842     16.8179    13.7158
4.5818     17.1391    13.7137
4.5686     17.3937    13.762
4.5587     17.6538    13.7462
4.4717     18.0505    13.7955
4.49       18.3848    13.7861
4.5109     18.7083    13.8003
4.4946     18.9076    13.904
4.5673     19.1708    13.8805
4.5912     19.3125    13.8735
4.5824     19.5529    13.832
