AMNH       169432     Phu1Tosi4
11.6816    16.7672    13.0591
11.7934    16.8553    13.0536
11.8909    16.9311    13.0711
12.0186    17.0421    13.081
12.1513    17.1558    13.0803
12.2257    17.2523    13.0834
12.3912    17.4438    13.1038
12.5054    17.5658    13.1004
12.5916    17.6564    13.0884
12.7498    17.8355    13.0303







































































































































































13.3608    10.4525    13.1339    L-ALV
13.4695    10.4795    13.1305
13.5463    10.5135    13.1283
13.7952    10.6342    13.1356
13.9175    10.7352    13.1351
14.0729    10.8673    13.1586
14.2662    11.0511    13.1539
14.3886    11.1802    13.116
14.529     11.2989    13.0831
14.6332    11.3957    13.082
14.7364    11.5027    13.0869
14.8588    11.6496    13.0968
15.0236    11.8159    13.0911
15.1179    11.9486    13.0716
15.2659    12.2196    12.9817
15.3618    12.3322    12.9499
15.4334    12.4402    12.9534
15.5338    12.5876    12.9422
15.6104    12.7209    12.9634
15.7008    12.8446    12.9716
15.7904    12.9535    12.9636
15.9       13.1309    12.9045
15.9231    13.2689    12.8631
15.9785    13.4147    12.8834
16.0277    13.5277    12.8811
16.1096    13.6366    12.8769
16.1715    13.7637    12.8772
16.2517    13.8978    12.8549
16.3621    14.0635    12.8254
16.4467    14.1698    12.8253
16.5527    14.323     12.7947
16.6753    14.4861    12.8012
16.7806    14.5995    12.7153
