AMNH       81811      phu3ms5.xls





















































































12.5795    14.3351    -12.1198   R-ALV
12.6652    14.3077    -12.091
12.8235    14.3286    -12.0669
13.0669    14.3623    -12.0225
13.3672    14.4445    -11.9695
13.5946    14.6005    -12.0003
13.7916    14.7456    -11.9323
14.0186    14.9178    -11.933
14.3166    15.1048    -11.9366
14.4927    15.2278    -11.9526
14.7394    15.3992    -11.9526
14.943     15.6088    -11.9105
15.0904    15.8518    -11.8598
15.2071    15.9465    -11.8538
15.3931    16.08      -11.8012
15.5868    16.2103    -11.7953
15.7537    16.3182    -11.7278
15.9233    16.6606    -11.7385
16.1142    16.7348    -11.6833
16.2629    16.8452    -11.6874
16.5467    17.0418    -11.6859
16.7381    17.1709    -11.6589
16.8611    17.2436    -11.6094
17.1375    17.5024    -11.548
17.2228    17.6145    -11.5505















































































































































































9.3985     19.0407    -12.149    L-ALV
9.5745     18.8671    -12.0193
9.7125     19.1543    -11.9218
9.9435     19.4564    -11.8668
10.3316    19.7247    -11.7885
10.6111    19.8459    -11.8006
11.12      20.1423    -11.7674
11.4535    20.3664    -11.6691
11.8259    20.4822    -11.6504
12.1424    20.5908    -11.7131
12.6371    20.85      -11.6796
12.9058    20.9831    -11.541
13.2115    21.078     -11.5732
13.5171    21.2431    -11.5922
13.7327    21.478     -11.4855
13.9282    21.5778    -11.4853
14.2366    21.7214    -11.4332
14.4639    21.8526    -11.3904
14.5892    21.9051    -11.4251
