HLD        R8         Phu190sf






-4.1524    14.7263    11.915     RZYGINF
-4.1944    14.4137    11.9154
-4.2549    14.1019    11.9427
-4.33      13.8238    11.9932
-4.4207    13.5491    12.0582
-4.4581    13.3569    12.139
-4.5107    13.1407    12.23
-4.56      12.9778    12.2852
-4.6462    12.7335    12.3161
-4.833     12.3634    12.3003
-5.0735    12.1188    12.2188
-5.2143    11.8739    12.1051
-5.3134    11.6433    12.0637
-5.3905    11.3938    12.0527
-5.4006    11.2332    12.0865
-5.4482    11.0524    12.1051
-5.4318    10.8803    12.1475
-5.4223    10.7512    12.1577
-5.466     10.5299    12.113





















































































































































































4.5123     15.5556    11.9975    LZYGINF
4.6163     15.2392    11.9091
4.7361     15.0605    11.6786
4.917      14.8578    11.6101
5.0738     14.6261    11.6628
5.2442     14.3832    11.7559
5.3152     14.0404    11.8851
5.3989     13.8568    11.9793
5.4684     13.5388    12.0717
5.5973     13.1651    12.1327
5.6612     12.9146    12.0947
5.7396     12.7541    12.0689
5.8343     12.3641    12.0181
5.8406     12.0341    12.0593
5.8405     11.8627    12.0796
5.8498     11.6544    12.0895
5.8842     11.5464    12.0964
5.9673     11.4383    12.0988
6.068      11.3243    12.0896
6.2976     11.2236    12.007
6.5086     11.2499    11.9491



















































































































































































-2.143     15.522     14.6222    R-ALV
-2.3253    15.7822    14.5732
-2.4529    16.1269    14.6084
-2.5689    16.4539    14.5776
-2.5973    16.8733    14.5987
-2.6425    17.2456    14.4998
-2.6695    17.6254    14.5038
-2.7071    17.9731    14.5048
-2.6233    18.4016    14.4687
-2.6115    18.7857    14.432
-2.5864    19.0769    14.4123
-2.5813    19.4062    14.3925
-2.4912    19.8091    14.4073
-2.4733    20.0819    14.4838
-2.4789    20.4823    14.4756
-2.5156    20.9942    14.4742
-2.4785    21.1622    14.4707
-2.4757    21.3086    14.447
-2.4402    21.3143    14.4727





















































































































































































2.8957     16.0892    14.6081    L-ALV
3.0934     16.4835    14.5573
3.1999     16.8463    14.504
3.2383     17.2103    14.5207
3.1994     17.6693    14.4325
3.1889     18.107     14.3403
3.1881     18.6231    14.2674
3.0111     18.9946    14.2477
3.0081     19.2622    14.1805
2.8066     20.0431    14.1528
2.637      20.428     14.1739
2.6072     20.8664    14.1672
2.5123     21.2572    14.1966
2.4898     21.5075    14.1679
2.4577     21.6709    14.1538
2.3838     22.0198    14.068
