UCB LHES   114        Tg6stv










11.25179   8.38229    13.01097   L-ALV
11.44851   8.40134    13.12322
11.70565   8.48193    13.22043
11.83686   8.5206     13.39179
11.98307   8.54005    13.49095
12.15321   8.65468    13.58368
12.33096   8.77625    13.68825
12.55669   8.90264    13.79329
12.74831   9.01397    13.84012
13.06639   9.28177    13.82558
13.24357   9.51004    13.87115
13.34932   9.6605     13.91329
13.44286   9.77045    13.94189
13.51524   9.85724    13.89372
13.69555   10.05832   13.93237
13.78296   10.17259   14.01441
13.88723   10.3108    14.04341
13.9833    10.42869   14.06879
14.07112   10.63707   14.08133
14.19334   10.82186   14.07204
14.284     10.93951   14.02171
14.43098   11.06958   14.03257
14.53179   11.17623   14.04925
14.64697   11.28023   14.01477
14.74041   11.39888   14.0062
14.84948   11.50504   13.99815
14.9521    11.60577   13.94695
