NME        AL363-A1   Par1sf



























0.9248     -0.4607    0.5357     R-ALV
0.9218     -0.4664    0.5341
0.9177     -0.4698    0.5362
0.9111     -0.4743    0.5363
0.9068     -0.4772    0.5362
0.9011     -0.4805    0.5368
0.8992     -0.4821    0.5375
0.8424     -0.4914    0.5453
0.8363     -0.492     0.547
0.8309     -0.4914    0.5473
0.8264     -0.4918    0.549
0.8224     -0.4931    0.5475
0.8151     -0.4929    0.5475
0.8078     -0.4917    0.5482
0.8047     -0.4906    0.5499
0.7991     -0.4915    0.5481
0.7904     -0.4953    0.5487
0.7854     -0.4959    0.5518
0.7792     -0.4974    0.553
0.7751     -0.4985    0.552
0.7694     -0.4992    0.5519
0.7654     -0.5005    0.5527


















































































































































































0.8864     -0.2964    0.5346     L-ALV
0.8817     -0.2933    0.5338
0.8758     -0.2916    0.5353
0.8673     -0.2896    0.5376
0.8586     -0.2882    0.5383
0.8533     -0.2888    0.539
0.8467     -0.2889    0.539
0.8419     -0.2882    0.542
0.8372     -0.2897    0.5409
0.8304     -0.2921    0.542
0.825      -0.2941    0.5443
0.817      -0.2942    0.5411
0.8119     -0.2957    0.5431
0.8015     -0.2992    0.5432
0.7935     -0.3028    0.5419
0.789      -0.3063    0.5421
0.7826     -0.3077    0.5421
0.7748     -0.3117    0.5412
0.7697     -0.319     0.5427
0.7634     -0.3209    0.5431
0.7579     -0.323     0.5452
0.7521     -0.3252    0.5464
0.7314     -0.3318    0.5519
