AMNH       119761     Laj3cms1
18.8735    21.0049    8.7916
18.7859    20.7927    8.8
18.7609    20.6155    8.751
18.7237    20.4656    8.6978
18.6513    20.2851    8.6448
18.5933    20.1338    8.6592
18.5495    19.9709    8.6458
18.4846    19.8613    8.6238
18.4515    19.7288    8.6314
18.4579    19.5461    8.5849
18.4589    19.4018    8.5292
18.4125    19.3185    8.5356
18.3945    19.2116    8.5108


















































































































































































15.6308    22.9732    8.9965     L-ALV
15.5156    22.8706    9.0079
15.4544    22.7583    9.0021
15.361     22.6501    8.9669
15.2751    22.4423    8.9676
15.191     22.2239    8.9528
15.1429    22.0065    8.9216
15.1028    21.8062    8.903
15.1018    21.6021    8.877
15.114     21.4173    8.8459
15.1089    21.2619    8.8186
15.1132    21.1101    8.8111
15.1019    20.9389    8.7312
15.1142    20.733     8.6528
15.1082    20.5321    8.6
15.1345    20.3222    8.5718
15.1409    20.1826    8.6164
15.1064    20.0354    8.5816
15.082     19.8825    8.5041
15.0956    19.7971    8.4957




















































































































































































18.1886    24.9713    6.8086     R_FOS
14.3212    25.1897    6.8274     L_FOS
