AMNH       189378     ca17ms.xls
15.3153    10.5477    -8.2265
15.3212    10.412     -8.2305
15.3401    10.2554    -8.2473
15.34      10.1307    -8.2675
15.3004    9.9995     -8.2966
15.2416    9.8527     -8.3277
15.2121    9.7527     -8.3516
15.151     9.6533     -8.3908
15.0974    9.5287     -8.3983
15.0324    9.4224     -8.4211
14.9745    9.3054     -8.4322
14.9248    9.1979     -8.4198
14.8512    9.1158     -8.4328
14.7839    8.9907     -8.4257
14.693     8.9024     -8.4038
14.6091    8.8049     -8.388
14.5287    8.7257     -8.3477
14.4147    8.6296     -8.3347
14.3222    8.5403     -8.2927
14.2418    8.4852     -8.2774
14.1689    8.4436     -8.2484
14.0856    8.383      -8.2434
14.0447    8.3639     -8.2421
14.0026    8.3587     -8.2362
13.9475    8.3015     -8.2169














































































































































































9999       9999       9999       LZYGINF







































































































































































































13.8507    11.3295    -9.119     R-ALV
13.9319    11.2953    -9.1282
14.0463    11.2685    -9.1225
14.119     11.2482    -9.0657
14.2091    11.2667    -9.0653
14.3403    11.2926    -9.0417
14.4731    11.3038    -9.0145
14.6038    11.3357    -9.0047
14.7546    11.3804    -8.9576
14.8255    11.392     -8.9897
14.9441    11.4163    -8.9874
15.0639    11.4754    -8.9805
15.184     11.5047    -8.9619
15.2702    11.5445    -8.9425
15.4354    11.6704    -8.9212
15.4758    11.7226    -8.9031
15.5372    11.8027    -8.9149
15.6463    11.8419    -8.8556
15.713     11.9167    -8.8788
15.7876    11.9444    -8.882
15.9031    11.9792    -8.8417
16.0123    12.0414    -8.7989
16.0579    12.1069    -8.7764
16.0994    12.1951    -8.7412
16.1497    12.2798    -8.7198
16.1607    12.3168    -8.7385
16.2172    12.3608    -8.7171
16.2606    12.3803    -8.7008
16.4365    12.4059    -8.6113
16.5589    12.5026    -8.6018
16.6158    12.6125    -8.6226
16.6514    12.6702    -8.6019
16.7139    12.7485    -8.6195
16.7558    12.756     -8.5914
16.8549    12.7709    -8.5357
16.9605    12.8598    -8.4706
17.0321    12.934     -8.3856



































































































































































12.3714    14.0563    -8.9164    L-ALV
12.4009    14.1602    -8.9048
12.4316    14.2479    -8.873
12.5007    14.3486    -8.844
12.5748    14.4361    -8.8105
12.6426    14.5079    -8.7832
12.7329    14.6059    -8.7787
12.8494    14.6748    -8.721
12.927     14.7302    -8.6976
12.9974    14.8084    -8.6883
13.0897    14.9011    -8.661
13.1926    14.9461    -8.6378
13.329     15.0593    -8.6223
13.5079    15.1369    -8.5257
13.6491    15.1505    -8.5279
13.7792    15.2072    -8.5218
13.8212    15.2292    -8.5028
13.9332    15.2901    -8.4972
14.0159    15.315     -8.4612
14.4546    15.3525    -8.3613
14.5543    15.4235    -8.3015
14.6475    15.4787    -8.282
14.7596    15.5431    -8.2642
14.9051    15.5363    -8.2429
15.0633    15.548     -8.2492
15.1918    15.5876    -8.2506
15.2509    15.6109    -8.1883
15.3791    15.6515    -8.1056
15.5117    15.6252    -8.0872
15.6352    15.6863    -8.0504










































































































































































11.9362    9.377      -5.885     R_FOS
9.5031     12.7537    -5.8511    L_FOS
