NMNH       220354     ctt27ms2.xls
11.0977    6.7756     11.5496    LTEMFOS
11.0998    6.6799     11.3658
11.1091    6.6485     11.2673
11.0983    6.6367     11.0848
11.101     6.6017     10.9983
11.1093    6.557      10.8992
11.1008    6.5265     10.7279
11.0968    6.5172     10.6179
11.0835    6.4617     10.5616
11.0904    6.4782     10.4354
11.0623    6.4351     10.3076
11.067     6.4005     10.1625
11.1512    6.4088     9.999
11.038     6.3668     9.8353
11.06      6.3897     9.6678
11.0965    6.371      9.5588
11.1454    6.3399     9.4717
11.2515    6.3303     9.3075
11.3336    6.3479     9.231
11.4407    6.3578     9.1747
11.5381    6.3695     9.1972
11.6166    6.3929     9.1348
11.6897    6.4064     9.1189
11.8165    6.469      9.092
11.8597    6.5075     9.0837
11.936     6.57       9.1046
12.0162    6.5879     9.129
12.0579    6.6127     9.1432
12.131     6.6052     9.2069
12.1773    6.6364     9.2503










































































































































































5.4518     5.1725     9.342      OP
6.673      6.2731     9.3896     BA
9.7459     9.2219     8.7109     ST
12.4815    11.9913    8.524      IV
4.2296     8.8514     8.7865     R_PG
5.6353     11.1608    8.2428     R_ZTI
8.6883     10.7701    9.7604     R_M3D
9.6801     12.133     9.5357     R_M12
11.2956    13.34      9.2689     R_MP3
12.2273    13.6431    8.8438     R_PMI
9.1434     3.9179     8.9266     L_PG
11.6408    5.1159     8.1426     L_ZTI
11.2712    8.3154     9.6751     L_M3D
12.6542    9.4135     9.4594     L_M12
13.7444    11.0081    9.2276     L_MP3
14.0389    11.9765    8.9352     L_PMI
13.851     11.2123    8.2847     O1
12.715     7.8676     7.2202     O2
7.679      2.896      7.8264     O3
4.5944     3.3419     6.3019     O4




















































































































































































8.2096     12.2395    8.4732     RZYGINF
8.0754     12.2115    8.4351
7.9757     12.19      8.4065
7.8708     12.2202    8.4054
7.7998     12.2296    8.4325
7.5483     12.1876    8.5313
7.4686     12.1881    8.5322
7.3981     12.1606    8.5295
7.3535     12.1534    8.5322
7.2915     12.1011    8.534
7.1134     12.026     8.5663
6.9497     11.9549    8.5823
6.8095     11.8764    8.5847
6.5535     11.7615    8.5819
6.3745     11.7036    8.5593
6.2584     11.5864    8.5277
6.1676     11.548     8.5223
6.0551     11.4731    8.4323
5.9829     11.3769    8.3888
5.8507     11.2979    8.3213
5.7554     11.2123    8.2748
5.6473     11.1718    8.1832
5.5981     11.1988    8.1527

















































































































































































12.6422    7.8286     8.472      LZYGINF
12.607     7.6        8.4114
12.6277    7.4476     8.4225
12.623     7.3243     8.4741
12.5802    7.125      8.5109
12.5355    6.9672     8.5287
12.4707    6.8332     8.5497
12.3892    6.6874     8.5827
12.3515    6.5544     8.5884
12.2615    6.3805     8.5917
12.2107    6.2481     8.5841
12.1271    6.1009     8.5655
12.0489    5.9436     8.568
12.0143    5.8925     8.5768
11.9602    5.8005     8.517
11.9249    5.7482     8.5323
11.931     5.6193     8.4474
11.873     5.5451     8.4069
11.8366    5.4646     8.3497
11.7623    5.3738     8.3147
11.7217    5.3225     8.2792
11.6762    5.2422     8.2523
11.6458    5.181      8.1908
11.6253    5.1319     8.1139




























































































































































